No,Materi,Deskripsi
1,"Pengenalan KMP","Mempelajari dasar Kotlin Multiplatform, instalasi tools, dan inisialisasi struktur project awal yang dapat berjalan di Android dan iOS."
2,"Jetpack Compose","Implementasi UI deklaratif modern. Fokus membuat layout statis untuk total harga, chip filter, dan kartu produk tanpa logika data kompleks."
3,"Stateful User Interface","Mengubah UI statis menjadi dinamis. Mengelola state input, dropdown, dan logika kalkulasi harga otomatis secara real-time saat user berinteraksi."
4,"Model-View-Intent","Menerapkan arsitektur MVI. Memisahkan logika dari UI menggunakan ViewModel, memusatkan State data, dan menangani aksi Event dari pengguna."
5,"Navigation","Membuat alur perpindahan antar layar. Mengatur definisi rute navigasi dari Home ke Riwayat Transaksi dan manajemen tumpukan layar (backstack)."
6,"Dependency Injection with Koin","Menerapkan Koin untuk manajemen dependensi otomatis. Fokus pada struktur modul yang rapi dan implementasi spesifik untuk Android dan iOS."
7,"Preferences DataStore","Implementasi penyimpanan data lokal ringan berbasis key-value. Digunakan untuk menyimpan ID unik perangkat secara persisten tanpa database berat."
8,"Networking with Ktor Client Part 1","Konfigurasi awal Ktor Client. Pembuatan HttpClient engine spesifik platform dan desain interface dasar untuk komunikasi data ke server."
9,"Networking with Ktor Client Part 2","Implementasi request HTTP GET. Mengambil daftar data barang dari API server, melakukan parsing JSON, dan menampilkannya ke layar Home."
10,"Networking with Ktor Client Part 3","Implementasi request HTTP POST. Mengirim data transaksi belanja yang dilakukan pengguna ke server untuk disimpan di database pusat."
11,"Networking with Ktor Client Part 4","Mekanisme upload file. Mengambil gambar dari galeri perangkat dan mengirimnya ke server menggunakan metode Multipart untuk data produk."
12,"Networking with Ktor Client Part 5","Implementasi fitur edit data. Mengirim request pembaruan (PUT/PATCH) ke server untuk mengubah informasi barang yang sudah tersimpan sebelumnya."